Equipo,Voltaje,Compartimiento,Conector,CodigoComp,Posicion,Cable,Familia,ModeloHoja,Precio,Listado,Criterio,ModeloListado,CodigoOrden,Descripcion,VoltsAmp,Dimensiones,Peso,KWH,Garantia,ConectorBateria
ADVANCE CS7010,36, x  x ,SB350 GRAY,,,,STRYTEN T300 (CMX),M2701808515B,6955,Master GNB List,order code,18-85-15,M2701808515B,Tubular Flooded Lead Acid Industrial Battery,36V / 595AH,38.43 x 17.87 x 22.62,1826,18.3141,5 Yrs Full + 1 Prorated,SB350 Gray
ADVANCE CS7010,36, x  x ,SB350 GRAY,,,,HAWKER FLEX,36FLX558_186 (207155T-SBKN),16876.74074,Master Hawker List,order code,18-85-15,36FLX558_186 (207155T-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 558AH,38.27 x 17.50 x 24.50,1465,,1 Year,N/A
AISLE-MASTER AM33,48,32.05 x 25.55 x 31.54,EURO 320,,B,16,HAWKER FLEX,24-FLX700-31 (311B37P01T2-SBKN),25502.03704,Master Hawker List,order code,24-FLX700-31 (311B37P01T2-SBKN),24-FLX700-31 (311B37P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,48V / 700AH,32.05 X 25.55 X 33.30,2563,,1 Year,N/A
CBXx-7 (25),80,40.47 x 27.99 x 30.9,EURO 320,N/A,A,39,STRYTEN F110 (FPX),M2504012509C6A,10161,Master GNB List,order code,40-125-09,M2504012509C6A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,80V / 500AH,40.38 x 27.88 x 30.88,3424,34.2,5 Yrs Full,EBC320A
CBXx-7 (30-35),80,40.47 x 33.66 x 30.9,EURO 320,N/A,A,39,STRYTEN F110 (FPX),M2504012511C6A,15350,Master GNB List,order code,40-125-11,M2504012511C6A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,80V / 625AH,40.38 x 33.5 x 30.88,4277,42.75,5 Yrs Full,EBC320A
CBXx-7 (30-35),80,40.47 x 33.66 x 30.9,EURO 320,N/A,A,39,STRYTEN F110 (FPX),M2504012513N,16750,Master GNB List,order code,40-125-13,M2504012513N,Flooded Conventional Lead Acid Flat Plate Industrial Battery,80V / 750AH,39.63 x 33.38 x 30.5,4657,51.3,5 Yrs Full,EBC320A
CBXx-7 (30-35),80,40.47 x 33.66 x 30.9,EURO 320,N/A,A,39,HAWKER FLEX,40-FLX700-31 (207043T2-SBKN),38656.28148,Master Hawker List,order code,40-125-11,40-FLX700-31 (207043T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,80V / 700AH,40.15 X 33.23 X 28.43,4338,,1 Year,N/A
CBXx-7 (45-50C-50),80,40.5 x 39.30 x 30.9,EURO 320,N/A,A,39,HAWKER FLEX,40-FLX840-37 (311B07P01T2-SBKN),44057.10556,Master Hawker List,order code,40-125-13,40-FLX840-37 (311B07P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,80V / 840AH,39.86 X 39.50 X 30.75,4803,,1 Year,N/A
CBXx-7 (45-50C-50),80,40.5 x 39.30 x 30.9,EURO 320,N/A,A,39,V-FORCE VTR,40-125VTR-13D,24297.22222,V-Force VTR Battery,order code,40-125-13,40-125VTR-13D,Tubular Flooded Lead Acid Industrial Battery,80/750,38.68 x 39.84 x 30.50,4808,58.2,5 Years,
"ES4000 (8"")",24,25.4 x 8.66 x 24.9,SB175 GRAY,,B,20,STRYTEN F100 (CLASSIC),M1601208507D,2479,Master GNB List,order code,12-85-7,M1601208507D,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 255AH,25.38 x 8.69 x 23.25,565,5.2326,3 Yrs Full + 2 Prorated,SB175 Gray
"ESR1220 -30/35 (13"")",48,40.75 x 13.9 x 30.9,SB350 BLUE,13.9,B,28,V-FORCE VTR,24-125VTR-07B,8691.666667,V-Force VTR Battery,order code,24-125-7,24-125VTR-07B,Tubular Flooded Lead Acid Industrial Battery,48/375,40.18 x 13.37 x 30.5,1563,17.37,5 Years,
"ESR1220 -30/35 (18"")",48,40.75 x 17.45 x 30.90,SB350 BLUE,13.9,B,28,V-FORCE VTR,24-125VTR-11,11744.44444,V-Force VTR Battery,order code,24-125-11,24-125VTR-11,Tubular Flooded Lead Acid Industrial Battery,48/625,39.06 x 17.23 x 30.5,2400,28.95,5 Years,
"ESR1220 -30/35 (20"")",48,40.75 x 21 x 30.9,SB350 BLUE,,B,28,V-FORCE VTR,24-125VTR-13B,13183.33333,V-Force VTR Battery,order code,24-125-13,24-125VTR-13B,Tubular Flooded Lead Acid Industrial Battery,48/750,37.91 x 20.66 x 30.50,2784,34.74,5 Years,
"ESR1240 -30/35 (11"")",48,48.2 x 11.15 x 30.9,SB350 BLUE,11.15,B,28,V-FORCE VTR,24-125VTR-07,8436.111111,V-Force VTR Battery,order code,24-125-7,24-125VTR-07,Tubular Flooded Lead Acid Industrial Battery,48/375,47.56 x 10.72 x 30.50,1584,17.37,5 Years,
"ESR1240 -30/35 (11"")",48,48.2 x 11.15 x 30.9,SB350 BLUE,11.15,B,28,STRYTEN T310 (LMX),M2902412507R6,7250,Master GNB List,order code,24-125-07,M2902412507R6,Tubular Low Maintenance Flooded Lead Acid Industrial Battery,48V / 375AH,47.63 x 10.81 x 30.5,1647,15.39,5 Yrs Full + 1 Prorated,SB350 Blue
"ESR1260 -30/35 (11"")",48,48.2 x 11.15 x 30.9,SB350 BLUE,11.15,B,28,STRYTEN T310 (LMX),M2902412507R6,7250,Master GNB List,order code,24-125-07,M2902412507R6,Tubular Low Maintenance Flooded Lead Acid Industrial Battery,48V / 375AH,47.63 x 10.81 x 30.5,1647,15.39,5 Yrs Full + 1 Prorated,SB350 Blue
"ESR5220 -30/35 (13"")",48,40.75 x 13.9 x 30.9,SB350 BLUE,13.9,B,28,V-FORCE VTR,24-125VTR-07,8436.111111,V-Force VTR Battery,order code,24-125-7,24-125VTR-07,Tubular Flooded Lead Acid Industrial Battery,48/375,47.56 x 10.72 x 30.50,1584,17.37,5 Years,
"ESR5220 -30/35 (13"")",48,40.75 x 13.9 x 30.9,SB350 BLUE,13.9,B,28,V-FORCE VTR,24-125VTR-07B,8691.666667,V-Force VTR Battery,order code,24-125-7,24-125VTR-07B,Tubular Flooded Lead Acid Industrial Battery,48/375,40.18 x 13.37 x 30.5,1563,17.37,5 Years,
"ESR5220 -30/35 (18"")",48,40.75 x 17.45 x 30.9,SB350 BLUE,,B,28,V-FORCE VTR,24-125VTR-11,11744.44444,V-Force VTR Battery,order code,24-125-11,24-125VTR-11,Tubular Flooded Lead Acid Industrial Battery,48/625,39.06 x 17.23 x 30.5,2400,28.95,5 Years,
"ESR5220 -30/35 (18"")",48,40.75 x 17.45 x 30.90,SB350 BLUE,13.9,B,28,V-FORCE VTR,24-125VTR-11,11744.44444,V-Force VTR Battery,order code,24-125-11,24-125VTR-11,Tubular Flooded Lead Acid Industrial Battery,48/625,39.06 x 17.23 x 30.5,2400,28.95,5 Years,
"ESR5260 -30/35 (11"")",48,48.2 x 11.15 x 30.9,SB350 BLUE,11.15,B,28,STRYTEN T310 (LMX),M2902412507R6,7250,Master GNB List,order code,24-125-07,M2902412507R6,Tubular Low Maintenance Flooded Lead Acid Industrial Battery,48V / 375AH,47.63 x 10.81 x 30.5,1647,15.39,5 Yrs Full + 1 Prorated,SB350 Blue
"ESR5260 -30/35 (11"")",48,48.2 x 11.15 x 30.9,SB350 BLUE,11.15,B,28,V-FORCE VTR,24-125VTR-07,8436.111111,V-Force VTR Battery,order code,24-125-7,24-125VTR-07,Tubular Flooded Lead Acid Industrial Battery,48/375,47.56 x 10.72 x 30.50,1584,17.37,5 Years,
"ESR5260 -30/35 (11"")",48,48.2 x 11.15 x 30.9,SB350 BLUE,11.15,B,28,V-FORCE VTR,24-125VTR-07,8436.111111,V-Force VTR Battery,order code,24-125-7,24-125VTR-07,Tubular Flooded Lead Acid Industrial Battery,48/375,47.56 x 10.72 x 30.50,1584,17.37,5 Years,
"ESR5260-30/35/45 (13"")",48,40.75 x 13.9 x 30.9,SB350 BLUE,"14""",B,28,STRYTEN T310 (LMX),M2902412509Y,8779,Master GNB List,order code,24-125-09,M2902412509Y,Tubular Low Maintenance Flooded Lead Acid Industrial Battery,48V / 500AH,47.25 x 13.5 x 30.5,2110,20.52,5 Yrs Full + 1 Prorated,SB350 Blue
"ESR5260-35/45 (20"")",48,48.15 x 19.64 x 30.56,SB350 BLUE,"20""",B,28,V-FORCE VTR,24-125VTR-13B,13183.33333,V-Force VTR Battery,order code,24-125-13,24-125VTR-13B,Tubular Flooded Lead Acid Industrial Battery,48/750,37.91 x 20.66 x 30.50,2784,34.74,5 Years,
"ESR5260-35/45 (20"")",48,46.97 x 19.64 x 30.56,SB350 BLUE,"20""",B,28,STRYTEN F100 (CLASSIC),M2602412515E6,11018,Master GNB List,order code,24-125-15,M2602412515E6,Flooded Conventional Lead Acid Flat Plate Industrial Battery,48V / 875AH,48 x 19.34 x 30.5,3300,35.91,3 Yrs Full + 2 Prorated,SB350 Blue
"ESR5260-35/45 (20"")",48,48.15 x 19.64 x 30.56,SB350 BLUE,"20""",B,28,STRYTEN T300 (CMX),M2702412515E6,11857,Master GNB List,order code,24-125-15,M2702412515E6,Tubular Flooded Lead Acid Industrial Battery,48V / 875AH,48 x 19.34 x 30.5,3147,35.91,5 Yrs Full + 1 Prorated,SB350 Blue
"FC5710/15-40/50    36v  (27"")",36,38.69 x 27.25 x 23.35,SB350 GRAY,Code 1,A,18,STRYTEN F100 (CLASSIC),M2601808523B,9527,Master GNB List,order code,18-85-23,M2601808523B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 935AH,38.25 x 26.88 x 22.63,2694,28.7793,3 Yrs Full + 2 Prorated,SB350 Gray
"FC5710/15-40/50    36v  (27"")",36,38.69 x 27.25 x 23.35,SB350 GRAY,Code 1,A,18,HAWKER FLEX,36FLX558_186 (206643T-SBKY),19485.69259,Master Hawker List,order code,18-85-23,36FLX558_186 (206643T-SBKY),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 558AH,38.58 x 26.90 x 22,2450,,1 Year,N/A
"FC5710/15-40/50    36v  (27"")",36,38.69 x 27.25 x 23.35,SB350 GRAY,Code 1,A,18,STRYTEN T300 (CMX),M2701808525B,11110,Master GNB List,order code,18-85-25,M2701808525B,Tubular Flooded Lead Acid Industrial Battery,36V / 1020AH,38.25 x 29.25 x 22.2,2860,31.3956,5 Yrs Full + 1 Prorated,SB350 Gray
"FC5710/15-40/50    36v  (27"")",36,38.69 x 27.25 x 23.35,SB350 GRAY,Code 1,A,18,COOLPOWER,18-85-23,8940.77898,Master CoolpowerList ,order code,18-85-23,18-85-23,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 935AH,38.44 x 27 x 22.2,2592,32.48,3Yrs Full + 1Yrs Prorated,SB350 Gray
"FC5710/15-40/50    36v  (27"")",36,38.69 x 27.25 x 23.35,SB350 GRAY,Code 1,A,18,V-FORCE TUBULAR,18-90VTA-23,12653.02222,V-Force VTA-VTE Battery,order code,18-85-23,18-90VTA-23,Tubular Low Maintenance Lead Acid Industrial Battery,36/990,38.21x26.85x22.63,2770,34.57,5 Years,N
"FC5710/15-40/50    36v  (27"")",36,38.69 x 27.25 x 23.35,SB350 GRAY,Code 1,A,18,V-FORCE TUBULAR,18-100VTE-23,13943.2,V-Force VTA-VTE Battery,order code,18-85-23,18-100VTE-23,Tubular High Capacity Lead Acid Industrial Battery,36/1100,38.21x26.85x22.63,2718,38.41,5 Years,N
"FC5710/15-40/50    48v  (27"")",48,38.69 x 27.25 x 23.35,SB350 BLUE,Code 1,A,18,V-FORCE VTR,24-90VTR-17,13220.83333,V-Force VTR Battery,order code,24-85-17,24-90VTR-17,Tubular Flooded Lead Acid Industrial Battery,48/720,38.27 x 27.14 x 22.75,2630,33.52,5 Years,
"FC5710/15-40/50    48v  (27"")",48,38.69 x 27.25 x 23.35,SB350 GRAY,Code 1,A,18,HAWKER FLEX,24-FLX660-37 (310B88P02T2-SBKN),21858.31667,Master Hawker List,order code,24-85-17,24-FLX660-37 (310B88P02T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,48V / 660AH,38.38 X 26.88 X 22.62,2735,,1 Year,N/A
